FRAME,POSE0,POSE1,POSE2,POSE3,POSE4,POSE5,0_EXP,1_EXP,2_EXP,3_EXP,4_EXP,5_EXP,6_EXP,7_EXP,8_EXP,9_EXP,10_EXP,11_EXP,12_EXP,13_EXP,14_EXP,15_EXP,16_EXP,17_EXP,18_EXP,19_EXP,20_EXP,21_EXP,22_EXP,23_EXP,24_EXP,25_EXP,26_EXP,27_EXP,28_EXP,29_EXP,30_EXP,31_EXP,32_EXP,33_EXP,34_EXP,35_EXP,36_EXP,37_EXP,38_EXP,39_EXP,40_EXP,41_EXP,42_EXP,43_EXP,44_EXP,45_EXP,46_EXP,47_EXP,48_EXP,49_EXP,50_EXP,51_EXP,52_EXP,53_EXP,54_EXP,55_EXP,56_EXP,57_EXP,58_EXP,59_EXP,60_EXP,61_EXP
0,0.07248575240373611,-0.43089550733566284,0.156064972281456,10.432821273803711,12.383124351501465,3247.357666015625,0.0,0.0,0.0,0.0,0.9518588706851006,1.1151103377342224,0.0,0.0,0.0,10.906386896967888,0.0,0.0,0.0,0.0,0.0,0.5180254974402487,4.00484561920166,0.0,2.771235555410385,0.0,-2.3005062341690063,0.0,0.0,1.6375227272510529,0.0,0.0,0.0,0.0,0.0,36.114096976816654,-8.863872438669205,0.26376018300652504,0.0,6.567894071340561,0.0,0.0,4.989085502922535,0.0,0.0,0.0,0.0,0.0,0.0,0.5275203660130501,0.0,0.0,0.0,5.211522132158279,1.6636459529399872,1.6375227272510529,0.0,0.0,12.301306016743183,2.3089516162872314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.09610160440206528,-0.435183584690094,0.1665453463792801,9.055116653442383,11.994508743286133,3260.7509765625,0.0,0.0,0.0,0.0,1.028999537229538,0.9330267906188965,0.0,0.0,0.0,11.62766620516777,0.0,0.0,0.0,0.0,0.0,-0.2017245627939701,1.8418627977371216,0.0,1.3433204591274261,0.0,-3.5829805582761765,0.0,0.0,0.541076697409153,0.0,0.0,0.0,0.0,0.0,29.51091941446066,-6.955517269670963,0.27248362079262733,0.0,6.0594393289648,0.0,0.0,6.165437936782837,0.0,0.0,0.0,0.0,0.0,0.0,0.5449672415852547,0.0,0.0,0.0,2.9400039091706276,1.788741610944271,0.541076697409153,0.0,0.0,17.398071782663465,0.9790437901392579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.11529199033975601,-0.42995592951774597,0.1696607619524002,8.125001907348633,11.058507919311523,3278.22314453125,0.0,0.0,0.0,0.0,0.6516556441783905,0.8755397200584412,0.0,0.0,0.0,9.021189706400037,0.0,0.0,0.0,0.0,0.0,-0.47777078300714493,2.3600261583924294,0.0,0.5843880213797092,0.0,-1.1889451742172241,0.0,0.0,1.5943767130374908,0.0,0.0,0.0,0.0,0.0,27.720187231898308,-3.2605061307549477,0.4002748057246208,0.0,3.5634463652968407,0.0,0.0,5.307998785749078,0.0,0.0,0.0,0.0,0.0,0.0,0.8005496114492416,0.0,0.0,0.0,2.525106891989708,1.8603306636214256,1.5943767130374908,0.0,0.0,12.626550681889057,0.7845769822597504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.07128709554672241,-0.38688841462135315,0.16408401727676392,6.955959796905518,13.490960121154785,3169.6201171875,0.0,0.0,0.0,0.0,0.7775588147342205,0.26996876299381256,0.0,0.0,0.6459070835262537,5.134800001978874,0.0,0.0,0.0,0.0,0.0,0.3401300050318241,7.806061040610075,0.0,0.0,0.0,2.7071379870176315,0.0,0.0,2.028490900993347,0.0,0.0,0.0,0.0,0.0,27.013971284031868,-3.900199234485626,0.5052573978900909,0.0,5.512896496802568,0.0,0.0,5.797056160867214,0.0,1.942167617380619,0.0,0.0,0.0,0.0,1.0105147957801819,0.0,0.0,0.0,7.506097797304392,3.994893729686737,2.028490900993347,0.0,0.0,8.914537280797958,3.849839251488447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.04001930356025696,-0.2975386083126068,0.12802749872207642,4.096670627593994,11.069278717041016,3238.32080078125,3.432123363018036,0.0,0.0,0.0,0.0,0.5627796649932861,0.0,0.0,2.2511186599731445,10.133007317781448,0.0,0.0,0.0,0.0,0.0,1.1538372747600079,7.708409894257784,0.0,4.73406046628952,0.0,3.21088045835495,0.0,0.0,1.605440229177475,0.0,0.0,0.0,0.0,0.0,21.58228893764317,-4.505973011255264,0.9088731370866299,0.0,20.610506162047386,0.0,0.0,0.06610170006752014,0.0,0.0,0.0,0.0,0.0,0.0,0.4448969289660454,0.0,0.0,0.0,5.8510273694992065,0.0,12.806920856237411,0.0,0.0,4.60060597397387,2.3404109477996826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-0.011644251644611359,-0.09655459225177765,0.08747252076864243,1.595956802368164,8.272464752197266,3455.371826171875,6.6985465586185455,0.0,0.0,0.0,0.0,0.08259961009025574,0.0,0.0,0.33039844036102295,12.6333337277174,0.316631019115448,0.0,0.0,0.0,0.0,-0.38054075092077255,3.12004242092371,0.0,4.760894179344177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.52352467086166,-2.446751967072487,1.4469220768660307,0.0,19.710888415575027,0.0,0.0,0.006898082792758942,0.0,0.0,0.0,0.0,0.0,0.0,0.21442553028464317,0.0,0.0,0.0,3.9177100360393524,1.9698923081159592,12.639013528823853,0.0,0.0,0.14073848724365234,1.9497396796941757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-0.008808247745037079,0.0407765656709671,0.05387728288769722,1.1406261920928955,9.070865631103516,3277.86865234375,5.820726230740547,0.0,0.0,0.0,0.6230622343719006,0.0,0.0,0.0,0.0,16.78425684571266,0.853537380695343,0.0,0.0,0.0,0.0,-2.3589484188705683,-5.1965869423002005,0.0,9.437881708145142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.11755032837391,1.4196788147091866,1.6480202600359917,0.0,22.738206647336483,0.0,0.0,-1.3313861191272736,0.0,0.0,0.0,0.0,0.0,0.0,0.9677500277757645,0.0,0.06656842539086938,0.0,3.737238554749638,1.4196788147091866,7.938547134399414,0.0,0.0,0.28318651020526886,2.7750033140182495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,-0.01905859261751175,0.22991350293159485,-0.05825340375304222,-4.203847408294678,9.528257369995117,3191.75146484375,2.9212243854999542,0.0,0.0,0.0,0.0,0.38349321484565735,0.0,0.0,1.5339728593826294,7.995462939143181,0.38757553696632385,0.0,0.0,0.0,0.0,1.7965295352041721,-0.2925170697271824,0.0,8.301827609539032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.465442597400397,0.2404459286481142,1.2576518952846527,0.0,18.726764619350433,0.0,0.0,0.10805107885971665,0.0,0.0,0.0,0.0,0.0,0.0,1.3468140363693237,0.0,4.089366048574448,0.0,7.4960756208747625,0.2404459286481142,19.667333364486694,0.0,0.0,4.591957479715347,2.1262113749980927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,-0.03366217017173767,0.43758922815322876,-0.09175696223974228,-10.555335998535156,14.154406547546387,3157.194580078125,0.0,0.0,0.0,0.0,3.83520171046257,0.006960505619645119,0.0,0.0,0.0,4.062698911875486,0.0,0.0,0.0,0.0,0.0,0.535010814666748,-0.12711942195892334,0.0,6.765317022800446,0.0,2.8968268912285566,0.0,0.0,1.4658147096633911,0.0,0.0,0.0,0.0,0.0,23.56354348361492,-4.849196523427963,0.39171282202005386,0.0,6.539524421095848,0.0,0.0,1.2485689669847488,0.0,0.0,0.0,0.0,0.0,0.0,0.7834256440401077,0.0,0.0,0.0,12.394758313894272,2.1766304969787598,13.01912009716034,0.0,0.0,13.226116746664047,4.667685925960541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.06194598227739334,0.5681105852127075,-0.12354424595832825,-14.355812072753906,12.411503791809082,3141.87744140625,0.0,0.0,0.0,0.0,3.139018937945366,1.0427463054656982,0.0,0.0,0.0,15.337250679731369,0.0,0.0,0.0,0.0,0.0,-1.1813150681555271,-0.5271719782613218,0.0,6.175688803195953,0.0,0.33756911754608154,0.0,0.0,2.7756503224372864,0.0,0.0,0.0,0.0,0.0,25.94169583171606,-7.097674906253815,0.30551889911293983,0.0,11.286392994225025,0.0,0.0,4.361327010439709,0.0,0.0759099901188165,0.0,0.0,0.0,0.0,0.6110377982258797,0.0,0.0,0.0,11.60230353474617,2.502266764640808,2.7756503224372864,0.0,0.0,13.02980162203312,4.71253203751985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
